customer_id,customer,city,segment
C001,Arjun,Bengaluru,Retail
C002,Sanjay,Kolkata,Wholesale
C003,Divya,Pune,Retail
C004,Anjali,Hyderabad,Wholesale
C005,Priya,Chennai,Retail
C006,Ravi,Bengaluru,Retail
C007,Pooja,Bengaluru,Retail
C008,Priya,Kolkata,Retail
C009,Varun,Bengaluru,Retail
C010,Nikhil,Hyderabad,Retail
C011,Ravi,Chennai,Retail
C012,Rohan,Chennai,Retail
C013,Rahul,Bengaluru,Wholesale
C014,Sneha,Bengaluru,Wholesale
C015,Ishita,Chennai,Retail
C016,Ravi,Delhi,Retail
C017,Dev,Chennai,Retail
C018,Sanjay,Mumbai,Retail
C019,Kavya,Ahmedabad,Wholesale
C020,Ravi,Chennai,Retail
C021,Vikram,Mumbai,Retail
C022,Anjali,Bengaluru,Wholesale
C023,Rahul,Ahmedabad,Retail
C024,Sneha,Delhi,Retail
C025,Anjali,Hyderabad,Retail
C026,Varun,Pune,Retail
C027,Dev,Kolkata,Retail
C028,Lata,Pune,Wholesale
C029,Sanjay,Kolkata,Wholesale
C030,Tara,Bengaluru,Wholesale
C031,Varun,Delhi,Retail
C032,Vikram,Delhi,Retail
C033,Rahul,Bengaluru,Retail
C034,Dev,Mumbai,Retail
C035,Lata,Chennai,Retail
C036,Ishita,Ahmedabad,Retail
C037,Rohan,Kolkata,Retail
C038,Manish,Mumbai,Wholesale
C039,Kavya,Mumbai,Retail
C040,Priya,Bengaluru,Retail
